truth,plugin_estimate_riesz,plugin_estimate_propensity,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,2.099808450460433740e+00,2.134064658939838210e+00,2.102448351882746813e+00,6.532173697575800908e+00,1.944037498477409809e+00,2.260859205288083817e+00,2.117103196770883766e+00,6.892732532757054997e+00,1.954379131870084496e+00,2.279827261671683036e+00
2.121539888279284192e+00,1.963099672377109473e+00,2.029531826198101019e+00,2.056594143141992515e+00,5.611425823747990371e+00,1.909771619513939145e+00,2.203416666770045662e+00,1.979141681173344880e+00,6.857398835444671548e+00,1.816835232237252740e+00,2.141448130109437020e+00
2.121539888279284192e+00,2.105102105677127966e+00,2.118215147078037042e+00,2.128189048586413001e+00,5.225649859895192151e+00,1.986503281828515322e+00,2.269874815344310459e+00,2.073266896604792020e+00,6.153574340197831560e+00,1.919515242352540119e+00,2.227018550857043699e+00
2.121539888279284192e+00,2.164440480709076020e+00,2.184460328638553772e+00,2.234819906982593363e+00,1.200988354405632741e+01,2.020024263118834540e+00,2.449615550846352185e+00,2.185591858919942343e+00,6.579834839451004669e+00,2.026604143925245349e+00,2.344579573914639337e+00
2.121539888279284192e+00,2.139680885076522987e+00,2.126255258440971296e+00,2.115447555646270850e+00,6.075931591452113700e+00,1.962668961590289252e+00,2.268226149702252670e+00,2.099566866695851797e+00,6.340087071679138653e+00,1.943502525815038906e+00,2.255631207576664909e+00
2.121539888279284192e+00,2.251084549069404694e+00,2.248152281284332421e+00,2.173911238808063473e+00,7.380661049078866220e+00,2.005526122226634733e+00,2.342296355389492213e+00,2.238929248454390564e+00,7.587823121020406347e+00,2.068197349555233266e+00,2.409661147353547861e+00
2.121539888279284192e+00,2.179127575397491245e+00,2.191982208013534716e+00,2.159127134270966142e+00,6.116330572721809133e+00,2.005841467856365856e+00,2.312412800685566427e+00,2.193892949892149780e+00,6.904676582081299863e+00,2.031027958080761753e+00,2.356757941703537806e+00
2.121539888279284192e+00,1.980482288718223627e+00,2.018181553006172191e+00,2.008940384738453488e+00,6.178623703901350517e+00,1.854876109772102488e+00,2.163004659704804489e+00,1.971607237700460535e+00,6.872451000787625830e+00,1.809122753011534801e+00,2.134091722389386270e+00
2.121539888279284192e+00,2.063172094762325326e+00,2.060773862719535998e+00,2.102059087380999891e+00,8.746590486439801637e+00,1.918753599157905221e+00,2.285364575604094561e+00,2.036455892268073331e+00,6.424181864167368694e+00,1.879359943722652915e+00,2.193551840813493747e+00
2.121539888279284192e+00,2.085394566714763531e+00,2.095248888313770319e+00,2.089908008641038872e+00,5.408093058342855031e+00,1.945770122251200718e+00,2.234045895030877027e+00,2.076105679657455294e+00,6.484316861991736403e+00,1.918276177798558635e+00,2.233935181516351953e+00
2.121539888279284192e+00,1.975094676911830938e+00,2.025030684709549167e+00,1.984531790409120422e+00,5.848772782046956387e+00,1.834636341780712776e+00,2.134427239037528068e+00,1.966924901662277625e+00,6.947947326853938677e+00,1.803550379625204592e+00,2.130299423699350658e+00
2.121539888279284192e+00,2.129422530055046003e+00,2.134117080688476609e+00,2.105423878261353909e+00,7.311295837791191410e+00,1.937831891309534926e+00,2.273015865213172670e+00,2.122849518132788216e+00,7.712694340906763202e+00,1.950718502391791009e+00,2.294980533873785422e+00
2.121539888279284192e+00,2.182697299718856954e+00,2.156340981483459540e+00,2.137063045531511829e+00,6.529857987361793015e+00,1.978680273601452821e+00,2.295445817461570837e+00,2.165617482736939436e+00,6.643433834282902239e+00,2.005863248308611624e+00,2.325371717165267249e+00
2.121539888279284192e+00,1.904995175600051827e+00,1.929828493595123318e+00,1.911955825895391481e+00,5.928141214933550174e+00,1.761046756282963255e+00,2.062864895507819707e+00,1.895744199053413404e+00,6.732793466538701921e+00,1.734919140741423060e+00,2.056569257365403747e+00
2.121539888279284192e+00,2.139323319435119775e+00,2.117395986318588275e+00,2.109860426446422910e+00,5.649748418411145501e+00,1.962537402026720335e+00,2.257183450866125263e+00,2.116256166687119578e+00,6.597698652870609415e+00,1.957052777449114656e+00,2.275459555925124722e+00
2.121539888279284192e+00,2.109390990138054089e+00,2.143582473635673669e+00,2.089127609544900288e+00,6.560463461564434162e+00,1.930374101130295728e+00,2.247881117959504849e+00,2.121956251318741327e+00,6.318308491257039528e+00,1.966160186220764494e+00,2.277752316416718159e+00
2.121539888279284192e+00,1.892620382606983176e+00,1.890631821036338867e+00,1.890485600743792238e+00,5.311896901695768669e+00,1.747635388501897147e+00,2.033335812985687330e+00,1.882577448695214484e+00,6.487545685447945409e+00,1.724708656639226234e+00,2.040446240751202733e+00
2.121539888279284192e+00,2.287599815487861843e+00,2.282069508790969703e+00,2.251498358634707042e+00,7.384320680645588553e+00,2.083071501136361192e+00,2.419925216133052892e+00,2.263519789219426315e+00,8.214629703750357947e+00,2.085875984177067988e+00,2.441163594261784642e+00
2.121539888279284192e+00,2.049495222687721441e+00,2.049753550887107867e+00,2.043931088190525713e+00,6.794619202505378652e+00,1.882369307040574702e+00,2.205492869340476503e+00,2.036888719197675890e+00,7.108915041771693311e+00,1.871632530132121941e+00,2.202144908263230061e+00
2.121539888279284192e+00,2.088806777954101523e+00,2.137301881194114905e+00,2.126242791541387067e+00,6.281102927076175568e+00,1.970906108801424361e+00,2.281579474281349995e+00,2.081980184394517153e+00,7.389970911838070755e+00,1.913488901964484068e+00,2.250471466824550237e+00
2.121539888279284192e+00,2.085693855404853636e+00,2.084986093938350660e+00,2.099632754243386579e+00,6.212752260288637807e+00,1.945143566650452405e+00,2.254121941836320975e+00,2.068593117305311146e+00,7.122345530402387048e+00,1.903180897111052872e+00,2.234005337499569421e+00
2.121539888279284192e+00,2.063112855315208272e+00,2.064440361320972528e+00,2.015165702847764084e+00,9.208400798362291084e+00,1.827083294029212990e+00,2.203248111666315179e+00,2.056451783340831785e+00,6.661743704649889075e+00,1.896477552241623066e+00,2.216426014440040504e+00
2.121539888279284192e+00,2.164881054162979268e+00,2.174883175909519295e+00,2.215407129689353383e+00,1.104402116136029477e+01,2.009429675356405376e+00,2.421384584022301389e+00,2.170090106629301019e+00,7.626488689102199459e+00,1.998923757868643625e+00,2.341256455389958635e+00
