truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,2.000000000000000000e+03,8.686055112376384058e-01,8.690570905654229072e-01,1.063897246046673217e+01,7.261048667210051599e-01,1.012009314409840322e+00,9.827192822146656459e-01,1.227281418480829167e+01,8.291822460110844784e-01,1.136256318418246813e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.500008328779721234e-01,9.593100965760620324e-01,7.017503960825587583e+00,8.432100465848849646e-01,1.075410146567238767e+00,9.248177574894256292e-01,1.230909541502581561e+01,7.710539435630611171e-01,1.078581571415789808e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.306812405249219600e-01,9.556979531069154099e-01,6.455090521635753475e+00,8.443474350391581007e-01,1.067048471174672608e+00,1.099639981319798787e+00,1.254483292921862336e+01,9.444107473126595043e-01,1.254869215326937848e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.544846603731426127e-01,9.904159291880298976e-01,2.023350035694375038e+01,7.932750975837741247e-01,1.187556760792285671e+00,1.030702707063859247e+00,1.437370962142794362e+01,8.645430806775471488e-01,1.196862333450171123e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.110383953535721169e-01,8.565921076934460698e-01,1.150534661880755216e+01,7.079332035356207253e-01,1.005251011851271636e+00,9.182775428188258982e-01,1.376991245203765146e+01,7.556452955925337944e-01,1.080909790045118335e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.072990439256229056e-01,8.039591602326904285e-01,1.384815513717791013e+01,6.408655172312192061e-01,9.670528032341616509e-01,9.589626334840178901e-01,1.241772019501057933e+01,8.045218456377487559e-01,1.113403421330287246e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.012822362841390822e+00,1.068317268436983269e+00,1.194887182977374884e+01,9.168200968111425153e-01,1.219814440062823913e+00,1.065213692017290104e+00,1.221841138580560759e+01,9.120173324330771436e-01,1.218410051601502841e+00
1.000000000000000000e+00,2.000000000000000000e+03,7.644945104629274901e-01,7.642571523182734028e-01,1.076233208140772390e+01,6.204785466011225603e-01,9.080357580354243563e-01,8.603899791930300633e-01,1.279131271501064404e+01,7.036431978449193547e-01,1.017136760541140772e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.903083576700284496e-01,9.210646552507247842e-01,2.084128043045689083e+01,7.209848425488392110e-01,1.121144467952610357e+00,1.100884409748569936e+00,1.374001773655488634e+01,9.384287971389262406e-01,1.263340022358213632e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.585389621391568138e-01,9.662302773074429307e-01,1.903879263819349177e+01,7.749981855983310020e-01,1.157462369016554415e+00,1.002276341942392790e+00,1.457262940039784382e+01,8.349709130039265625e-01,1.169581770880859128e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.715383121063266847e-01,9.830978232446999643e-01,2.729979158740284717e+01,7.541055969987346952e-01,1.212090049490665455e+00,1.055176978226940898e+00,1.402482206868116776e+01,8.910463039776622685e-01,1.219307652476219417e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.561130020618294756e-01,1.086336942360760061e+00,1.801555123887492371e+01,9.003147103033229959e-01,1.272359174418197014e+00,1.038892207052802608e+00,1.357822999789669716e+01,8.773958783640054548e-01,1.200388535741599538e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.169157269625239914e-01,9.445788841497959609e-01,1.314861357171536760e+01,7.856579700177949155e-01,1.103499798281797117e+00,9.938116341204162874e-01,1.392314354484351924e+01,8.302770074478506013e-01,1.157346260792981862e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.518256474564913416e-01,8.559667013104299560e-01,2.204353678124660831e+01,6.501968652084918476e-01,1.061736537412367953e+00,9.823670173221401569e-01,1.196622140342393514e+01,8.307598998385052891e-01,1.133974134805775247e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.045513830417496903e+00,1.087078341953140459e+00,1.460500366985280785e+01,9.195871748754307351e-01,1.254569509030849961e+00,1.143246742920441150e+00,1.510417887753180821e+01,9.729173362169504236e-01,1.313576149623931544e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.118960840869896334e-01,1.001926804704659890e+00,1.488048140436513123e+01,8.328634181258250946e-01,1.170990191283494353e+00,1.019458078610797180e+00,1.285812754496376087e+01,8.623024506862254634e-01,1.176613706535368786e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.121318211356686190e-01,8.878655619109628860e-01,8.876840307249233675e+00,7.572874823487164564e-01,1.018443641473209205e+00,8.889577299877501337e-01,1.249550051691720043e+01,7.340340152346671587e-01,1.043881444740832887e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.284452932742845999e-01,1.028945881334232704e+00,8.645044313244429901e+00,9.000839353731389103e-01,1.157807827295326719e+00,9.415208695495308477e-01,1.412802673068578407e+01,7.767874068156307432e-01,1.106254332283431063e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.222068085752328503e-01,1.001260929586632376e+00,1.105377001469686071e+01,8.555486053164125249e-01,1.146973253856852226e+00,1.029581859639996821e+00,1.468583192424378403e+01,8.616278601041492680e-01,1.197535859175844264e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.472478856891471954e-01,1.020122039192991492e+00,1.010842561960513208e+01,8.807797845458905650e-01,1.159464293840092752e+00,1.037567470610218701e+00,1.390951969711309033e+01,8.741128731398054574e-01,1.201022068080631833e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.520670511904328004e-01,9.050573563122739085e-01,2.320544530318254317e+01,6.939341237244013305e-01,1.116180588900146819e+00,9.008276257519464147e-01,1.382009959208563288e+01,7.378992755593599684e-01,1.063755975944532750e+00
1.000000000000000000e+00,2.000000000000000000e+03,7.775884916906989908e-01,7.950536899344913255e-01,6.361008473117585993e+00,6.845176095120144577e-01,9.055897703569681934e-01,8.549591553166172586e-01,1.095073544802225562e+01,7.099275289430531100e-01,9.999907816901816293e-01
1.000000000000000000e+00,2.000000000000000000e+03,8.706349993810582610e-01,9.189808004932217278e-01,8.831746653627234878e+00,7.887348064193647756e-01,1.049226794567078791e+00,9.256399707052191950e-01,1.184225853456505284e+01,7.748201769340017364e-01,1.076459764476436654e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.927085357935226062e-01,9.289611203722988320e-01,4.644729872986817831e+00,8.345069137956030447e-01,1.023415326948994286e+00,9.592713345243497614e-01,1.134177234320715932e+01,8.116729730265598297e-01,1.106869696022140026e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.111351855760887464e-01,9.730180223887409108e-01,8.466362353042287126e+00,8.454947350733506006e-01,1.100541309704131443e+00,9.376252022385964668e-01,1.377269310525126755e+01,7.749765351165859295e-01,1.100273869360607115e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.322039103685262340e-01,9.504177674441119938e-01,1.838723316763578453e+01,7.624864037274750039e-01,1.138349131160748762e+00,1.004468967843326066e+00,1.271141488057549118e+01,8.482124937291011246e-01,1.160725441957550785e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.007150913487983246e+00,1.122198524780320339e+00,2.218025940036710253e+01,9.157915426885679944e-01,1.328605506872073239e+00,1.081623248923657687e+00,1.156746895187860780e+01,9.325635482572184332e-01,1.230682949590096831e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.380670171578081584e-01,1.092512612629559454e+00,1.806374809625922495e+01,9.062417148937760292e-01,1.278783510365342879e+00,1.065084509030910231e+00,1.660745102850769683e+01,8.864799404007726036e-01,1.243689077661048081e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.021290449095775710e-01,1.073641083222860670e+00,1.860675452145894937e+01,8.845912112715198505e-01,1.262690955174201157e+00,1.074598478312403849e+00,1.320944078853349168e+01,9.153103938031880160e-01,1.233886562821619570e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.372807546776199539e-01,1.006961120130285936e+00,2.785179478706384160e+01,7.756653626529985690e-01,1.238256877607573525e+00,9.565431084103943604e-01,1.363183271497248406e+01,7.947283245403190532e-01,1.118357892280469557e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.109556933401673717e-01,8.258668360827067234e-01,1.195858040248567811e+01,6.743081305026757954e-01,9.774255416627376514e-01,8.589156858531632466e-01,1.349784040724473577e+01,6.978981344674969334e-01,1.019933237238829449e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.852190586990841270e-01,8.426456347254580592e-01,2.922298897091446079e+01,6.057247255271932529e-01,1.079566543923723199e+00,9.699182690843153321e-01,1.327822070133505150e+01,8.102160263852086208e-01,1.129620511783421932e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.811147245215485979e-01,8.010515123807624427e-01,3.906597274689024601e+01,5.271210094201999041e-01,1.074982015341324759e+00,8.790076642496517101e-01,1.496077839713758628e+01,7.094887474727271659e-01,1.048526581026576254e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.539298118472864241e-01,8.768526286126459013e-01,1.799239421693481589e+01,6.909499906219803700e-01,1.062755266603311100e+00,1.021180963336376202e+00,1.465511376980201952e+01,8.534027092954078464e-01,1.188959217377344668e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.233675540888991451e-01,9.880143144330384430e-01,2.483353912440577105e+01,7.696104180617542312e-01,1.206418210804322655e+00,9.486192792228097526e-01,1.444288110204987596e+01,7.820603226314051248e-01,1.115178235814214380e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.735928598112526755e-01,1.044151029473678660e+00,2.370525128250936930e+01,8.307662908829256398e-01,1.257535768064431680e+00,9.104295755511843113e-01,1.211913757427568683e+01,7.578568405928414187e-01,1.063002310509527204e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.257611178009022002e-01,9.468242686295528232e-01,1.887110145891979940e+01,7.564362131158385294e-01,1.137212324143267228e+00,9.964804217234076722e-01,1.331804081016918673e+01,8.365388924441958807e-01,1.156421951002619464e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.040108845369257518e+00,1.155653367028854461e+00,3.797319920526430082e+01,8.855813006586509273e-01,1.425725433399058106e+00,1.177353705073816315e+00,1.299041468830845147e+01,1.019391720617736308e+00,1.335315689529896321e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.112480903625256312e-01,8.844375488595491719e-01,1.421406303074365418e+01,7.192032537829750050e-01,1.049671843936123450e+00,9.879986110233112129e-01,1.301260712643692763e+01,8.299017553668496250e-01,1.146095466679772690e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.207835321155842800e-01,1.107522514300651517e+00,1.738645154066716358e+01,9.247770735386082741e-01,1.290267955062695204e+00,1.043532198031224656e+00,1.381358488391078332e+01,8.806422540659331055e-01,1.206422141996516206e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.317906461393740347e-01,1.098445817475453223e+00,1.722028066159833770e+01,9.165757674540214728e-01,1.280315867496884863e+00,9.783250350751638846e-01,1.346631966371776379e+01,8.174956011705795111e-01,1.139154468979748369e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.001937186911738609e+00,1.088426979805264816e+00,8.897299603444690064e+00,9.576985090030077918e-01,1.219155450607521507e+00,1.056939158069025941e+00,1.408902064502730411e+01,8.924332589195779208e-01,1.221445057218474295e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.353957903948255659e-01,9.548061066915619621e-01,9.330451393661256532e+00,8.209332900447737780e-01,1.088678923338350035e+00,1.045657459699020908e+00,1.264250951225915642e+01,8.898250745181881527e-01,1.201489844879853663e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.994297109344339125e-01,1.032696412213919945e+00,2.889415956852137057e+01,7.971122410580128159e-01,1.268280583369827408e+00,9.685382305641944134e-01,1.326433919371035586e+01,8.089194887971987713e-01,1.128156972331189944e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.682785593055025730e-01,8.865123920665286539e-01,1.149977483451611526e+01,7.378894883735293009e-01,1.035135295759527896e+00,9.693596185244452990e-01,1.186508813771363435e+01,8.183945189321211178e-01,1.120324718116769480e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.069152849613432821e+00,1.197993186534349164e+00,1.204257552881706772e+01,1.045903150451271912e+00,1.350083222617426859e+00,1.193369027712319674e+00,1.219274916745412085e+01,1.040333631150459404e+00,1.346404424274179945e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.694079889362527958e-01,1.009482438355195910e+00,6.954607869391773889e+00,8.939038469313181912e-01,1.125061029779073962e+00,1.036357612101476811e+00,1.321141276923432883e+01,8.770576383188508629e-01,1.195657585884102758e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.984046789961529500e-01,9.321206816758409452e-01,9.243006843740470657e+00,7.988766666302987707e-01,1.065364696721383231e+00,1.049522766218210723e+00,1.395102567518991421e+01,8.858244763160103563e-01,1.213221056120410868e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.094934475718180034e+00,1.108012608179680614e+00,1.462444864022613622e+01,9.404099800733576320e-01,1.275615236286003151e+00,1.183130331030322724e+00,1.474947926690214217e+01,1.014812774679639151e+00,1.351447887381006741e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.538032270989729389e-01,9.515698320236654073e-01,1.651955609934251257e+01,7.734385227161292287e-01,1.129701141331201475e+00,8.988158100313800025e-01,1.356132257700285848e+01,7.374200591396444793e-01,1.060211560923115304e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.911385584523798586e-01,1.020255347765204768e+00,1.198234646810860760e+01,8.685461156929840110e-01,1.171964579837426079e+00,1.148990759928431915e+00,1.227069623295357026e+01,9.954669724417456456e-01,1.302514547415118296e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.855215449450216436e-01,1.026906931879800755e+00,1.222449168192155966e+01,8.736724591831033226e-01,1.180141404576498410e+00,1.075269679635197484e+00,1.478247800810883561e+01,9.067639415786689083e-01,1.243775417691725949e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.590648333762453959e-01,9.540777412739662733e-01,1.202557630550158763e+01,8.020950877650625532e-01,1.106060394782869549e+00,9.591503784402856114e-01,1.369088754758952753e+01,7.969854722447401452e-01,1.121315284635830745e+00
