truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.500000000000000000e+03,1.004430569556283626e+00,1.026190734735470622e+00,2.192962143010289466e+00,9.512486087599850704e-01,1.101132860710956285e+00,9.930979679704718954e-01,8.991733675215807242e-01,9.451100222016234342e-01,1.041085913739320246e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.933404795445279767e-01,9.649836453608218179e-01,1.955308310208384359e+00,8.942187180568881288e-01,1.035748572664755507e+00,9.690568408609214757e-01,1.009960804415639402e+00,9.181984398751575904e-01,1.019915241846685250e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.033062908250883094e+00,1.016597892507962841e+00,1.565569391430666979e+00,9.532770619484487451e-01,1.079918723067476938e+00,1.045824290743892160e+00,1.155934317903937414e+00,9.914145043958477732e-01,1.100234077091936546e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.002990039695839997e+00,1.004522087871821068e+00,1.822631851490120969e+00,9.362001903538488268e-01,1.072843985389793309e+00,9.926252408358595680e-01,9.345684267770230091e-01,9.437019126013890258e-01,1.041548569070330110e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.009853025473615995e+00,1.015904745168174861e+00,1.775434761278199769e+00,9.484732481808553217e-01,1.083336242155494400e+00,1.020067476740217804e+00,1.138375326090182105e+00,9.660725223295938413e-01,1.074062431150841768e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.016181134484641868e+00,9.838892591849383029e-01,1.848504494744827698e+00,9.150841485849655621e-01,1.052694369784911155e+00,9.995613050699142521e-01,9.275288267226481365e-01,9.508225816511395312e-01,1.048300028488688973e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.017756204602707770e+00,1.044685269324159282e+00,1.159573138052985009e+00,9.901899107013411028e-01,1.099180627946977573e+00,1.042404545298914131e+00,8.420966462903288763e-01,9.959646308833388639e-01,1.088844459714489288e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.022870686485911396e+00,9.641552342511400253e-01,3.443117078429043243e+00,8.702507488471118435e-01,1.058059719655168207e+00,1.006789606848052632e+00,1.011610683973691804e+00,9.558896814810259324e-01,1.057689532215079442e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.024898658842950949e+00,9.935936989987915746e-01,1.933942633979320203e+00,9.232164582520134832e-01,1.063970939745569666e+00,1.000400007092946630e+00,1.015541364060048801e+00,9.494012900883455064e-01,1.051398724097547754e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.006771057726971730e+00,1.040521223770769721e+00,1.424015297440282435e+00,9.801308428223295399e-01,1.100911604719209791e+00,1.015402772057669045e+00,7.598357003310201030e-01,9.712893967134370588e-01,1.059516147401901032e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.979324654613831447e-01,9.744254779549793577e-01,1.196386310573114287e+00,9.190718412138841886e-01,1.029779114696074416e+00,9.686952406584022901e-01,9.874206151640178009e-01,9.184075679793444191e-01,1.018982913337460161e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.033068193867566320e+00,1.050230197448244862e+00,1.228001772620193055e+00,9.941499477477918623e-01,1.106310447148697751e+00,1.036773527304166498e+00,9.684141985317236134e-01,9.869721887339402144e-01,1.086574865874392781e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.000709338810203519e+00,1.065057941872143088e+00,4.270788753533023119e+00,9.604741251649282496e-01,1.169641758579357926e+00,1.003043240995214358e+00,9.592220711697391211e-01,9.534788215755966023e-01,1.052607660414832003e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.951283032833480036e-01,9.442089145142565920e-01,3.984423966608463097e+00,8.431922059619150200e-01,1.045225623066598164e+00,9.964700525250475005e-01,1.035175792287770458e+00,9.449806923059841379e-01,1.047959412744110974e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.008792251455670863e+00,9.635949868916607874e-01,1.345102363100686649e+00,9.049017434526436254e-01,1.022288230330677949e+00,9.507220910887205223e-01,9.669984538337061952e-01,9.009571686349306940e-01,1.000487013542510351e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.014632126084061614e+00,9.885955004121206313e-01,1.241051267407736969e+00,9.322180666945206751e-01,1.044972934129720477e+00,9.846237685725591771e-01,9.888060675417864598e-01,9.343008288792242766e-01,1.034946708265894078e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.028092540475987748e+00,1.015219795343028641e+00,2.292004225053744904e+00,9.386040292067802104e-01,1.091835561479276961e+00,1.029437558906538985e+00,1.050459808184118549e+00,9.775694800967988929e-01,1.081305637716279078e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.004150208739207573e+00,1.004709980660325241e+00,1.494513606260921668e+00,9.428427924271863825e-01,1.066577168893464211e+00,9.922503809178673251e-01,7.926198045377483847e-01,9.471953905090183534e-01,1.037305371326716408e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.824865391526964586e-01,1.007857711870241646e+00,1.826335993637751676e+00,9.394664241543403405e-01,1.076248999586142840e+00,1.003138956736242315e+00,9.543196202173036546e-01,9.537013580012255742e-01,1.052576555471258946e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.009260584813951089e+00,9.861688652864828430e-01,1.154043214723387889e+00,9.318036042356894200e-01,1.040534126337276266e+00,9.720809861891022141e-01,8.667716034706265393e-01,9.249655973945497545e-01,1.019196374983654785e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.015433387418253730e+00,1.018746198116786461e+00,3.343697280651409365e+00,9.262073865353732671e-01,1.111285009698199655e+00,1.002205319309082965e+00,1.012857943910308478e+00,9.512740252138291996e-01,1.053136613404336730e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.933511095568340332e-01,9.695664804482201360e-01,2.926549564804385994e+00,8.829923010483069490e-01,1.056140659848133323e+00,9.735917162855378670e-01,9.282321082040634330e-01,9.248345187527514666e-01,1.022348913818324379e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.946848739077279733e-01,1.025066796870615304e+00,1.903233326014580395e+00,9.552505564236744018e-01,1.094883037317556207e+00,1.017202259676703191e+00,9.140096212723354263e-01,9.688200359364367298e-01,1.065584483416969652e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.010399289353218766e+00,1.000253484219485456e+00,2.297566761975601501e+00,9.235448038206089949e-01,1.076962164618362028e+00,1.013599357897110975e+00,9.905086709128428923e-01,9.632331118575341300e-01,1.063965603936687820e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.023386648632743645e+00,1.004251860583539768e+00,1.622224369032811087e+00,9.397954818659581822e-01,1.068708239301121354e+00,1.009700520297883264e+00,9.836191233011213342e-01,9.595097427647308885e-01,1.059891297831035528e+00
