truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,5.000000000000000000e+02,1.027687251632399157e+00,1.040706181130676589e+00,3.638886089176456728e+00,8.734988559312089063e-01,1.207913506330144271e+00,9.996309424339151484e-01,1.035473561363530415e+00,9.104359287466675665e-01,1.088825956121162619e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.642959181700980764e-01,8.785834637461727992e-01,1.957440256273029311e+00,7.559482119749265649e-01,1.001218715517419033e+00,9.213471784739568626e-01,1.087113987171600904e+00,8.299550880818619136e-01,1.012739268866051701e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.049704408859010840e+00,1.016871320681868029e+00,2.508720990783285032e+00,8.780368684865065276e-01,1.155705772877229531e+00,1.072543648400478222e+00,1.368916911813089943e+00,9.699879931841892677e-01,1.175099303616767177e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.032995359445334937e+00,1.120511400586857054e+00,1.351601105720365403e+00,1.018606436941945637e+00,1.222416364231768471e+00,1.067008450438353684e+00,1.148388865862414399e+00,9.730760208190039062e-01,1.160940880057703462e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.966061434836638311e-01,1.112973380295895875e+00,1.862812373963551149e+00,9.933391041387813480e-01,1.232607656453010403e+00,1.041799412251808166e+00,1.017381080749798938e+00,9.533870696767080544e-01,1.130211754826908166e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.993523417659230246e-01,1.021310313314768292e+00,1.607485151778472288e+00,9.101769253607229215e-01,1.132443701268813552e+00,9.934410966591723513e-01,9.794541335338552424e-01,9.066923675689584350e-01,1.080189825749386268e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.955509097652711636e-01,9.726392881745055119e-01,1.323923786612441367e+00,8.717830973020522789e-01,1.073495479046958634e+00,9.539097928618400779e-01,1.185430307616301082e+00,8.584744841994924602e-01,1.049345101524187696e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.581976419362040476e-01,8.071586292090727754e-01,3.003529665623812850e+00,6.552483954296434154e-01,9.590688629885021355e-01,8.988732874412185270e-01,1.190108913998297435e+00,8.032498342091179966e-01,9.944967406733190574e-01
1.000000000000000000e+00,5.000000000000000000e+02,1.000268130815200163e+00,1.028401567790840021e+00,1.596971558855289297e+00,9.176322043323594801e-01,1.139170931249320562e+00,1.042036796100220819e+00,1.464626248094937688e+00,9.359565604794275462e-01,1.148117031721014092e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.006867801747276303e+00,1.000907338222354781e+00,1.305999775862963563e+00,9.007361972789157400e-01,1.101078479165793711e+00,9.435033304414287558e-01,1.223864938173560901e+00,8.465332366342394055e-01,1.040473424248617995e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.009895775986916266e+00,9.882287693001953199e-01,1.533566977111267438e+00,8.796806150158350546e-01,1.096776923584555696e+00,1.009431569174680687e+00,1.284172167585713620e+00,9.101010522224642907e-01,1.108762086126897195e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.037585063457493240e+00,1.031085887339192153e+00,1.977745417775583991e+00,9.078162090162024134e-01,1.154355565662181782e+00,1.053995007577186449e+00,1.308162258063507277e+00,9.537409689495404130e-01,1.154249046204832485e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.003634719275866338e+00,8.978604168128382357e-01,2.197073367834401214e+00,7.679352302640197747e-01,1.027785603361656586e+00,9.519819188746646565e-01,1.038019485323949054e+00,8.626773203948496782e-01,1.041286517354479635e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.063325282588315268e+00,1.011195710187434482e+00,1.582175345800429511e+00,9.009406893636467961e-01,1.121450731011222279e+00,1.030836829154317513e+00,8.186344049550068336e-01,9.515289994011947305e-01,1.110144658907440407e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.961647636991244337e-01,1.051360859267613357e+00,6.489339530685790614e+00,8.280698082105567570e-01,1.274651910324670068e+00,1.004612195663427077e+00,1.472327595752584095e+00,8.982534283535045239e-01,1.110970962973349740e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.001344710225666512e+00,1.015674833476901240e+00,2.201491234697229515e+00,8.856190859898110945e-01,1.145730580963991496e+00,9.415067126131355657e-01,1.442891596465982751e+00,8.362165197461479682e-01,1.046796905480123163e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.010790298423337230e+00,9.697058493505903431e-01,3.098503336157511168e+00,8.154125545112961282e-01,1.123999144189884669e+00,1.007143018463720896e+00,1.333227602774206932e+00,9.059330667908009893e-01,1.108352970136640803e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.055130496284612862e+00,1.066087531184715109e+00,1.913385576017304635e+00,9.448401639652321826e-01,1.187334898404198036e+00,1.053822910505342492e+00,1.188762897275994046e+00,9.582535477767414323e-01,1.149392273233943440e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.039641609430767000e+00,9.020666348970344250e-01,3.356132960673409826e+00,7.414869326820722195e-01,1.062646337111996520e+00,9.722228271873831762e-01,1.040389373295272035e+00,8.828163417799910206e-01,1.061629312594775332e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.013717140697337316e+00,9.696840507294749445e-01,1.806269726688396693e+00,8.518794176962520837e-01,1.087488683762697805e+00,9.641578072004194366e-01,1.334838286725337220e+00,8.628867376663806876e-01,1.065428876734458186e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.901820039624005254e-01,9.067929730976505009e-01,6.939179089859513816e+00,6.758923434250386775e-01,1.137693602770262213e+00,9.704463290906709672e-01,1.019937547205971740e+00,8.819229753206464517e-01,1.058969682860695594e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.862466157561312619e-01,9.570313073410002813e-01,1.613627593833829144e+00,8.456857931567993703e-01,1.068376821525201192e+00,1.002729202382047102e+00,9.330382256692912879e-01,9.180609125950064398e-01,1.087397492169087876e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.025896618881419364e+00,1.073698287005746765e+00,3.291433947031125573e+00,9.146739325758999062e-01,1.232722641435593625e+00,1.048956155052406025e+00,8.741996131488610766e-01,9.670009815259877906e-01,1.130911328578824371e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.942576682625783313e-01,1.106593844522764103e+00,5.172853351085741735e+00,9.072347041076279650e-01,1.305952984937900130e+00,1.053120195778579626e+00,9.238154104687622548e-01,9.688714061035130776e-01,1.137368985453646175e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.015182514689259241e+00,1.020524148308732837e+00,7.250433657458478898e+00,7.845018360647736388e-01,1.256546460552692146e+00,1.020964611782459119e+00,1.233255034077655576e+00,9.236232275832119143e-01,1.118305995981706324e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.066716939929077013e+00,1.096470389664747191e+00,1.389747557483945073e+00,9.931373918680093116e-01,1.199803387461485071e+00,1.099707247040443425e+00,1.297732380271993557e+00,9.998536671141043941e-01,1.199560826966782567e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.040774483938216255e+00,1.005449933469030110e+00,2.673953501590989656e+00,8.621163381627521272e-01,1.148783528775308094e+00,1.035852761391969246e+00,8.708213000328171027e-01,9.540560975699517998e-01,1.117649425213986802e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.382534386386280900e-01,9.038630578814971228e-01,2.591711107241276402e+00,7.627509224035157187e-01,1.044975193359478416e+00,9.298435349905905811e-01,1.227520098984599128e+00,8.327287450535347801e-01,1.026958324927646382e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.997568876686198092e-01,9.338684314422676103e-01,3.232568171786613487e+00,7.762725311863570843e-01,1.091464331698178247e+00,9.588643209911622556e-01,9.747558060843788397e-01,8.723239037902525972e-01,1.045404738192071914e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.013771219066065044e+00,1.034433401604373248e+00,2.792322401734397719e+00,8.879616586741898576e-01,1.180905144534556639e+00,1.017569000572775106e+00,8.991391080662933799e-01,9.344530237987821453e-01,1.100684977346768179e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.027039691395585486e+00,1.013836639404616990e+00,2.851973174642952191e+00,8.658086680768415366e-01,1.161864610732392444e+00,1.020440570700327454e+00,1.270396236752930452e+00,9.216442733698094747e-01,1.119236868030845322e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.026306704729457175e+00,9.463205256437032808e-01,1.639748724444417549e+00,8.340774082616055907e-01,1.058563643025800971e+00,9.929119145871843077e-01,1.329269290098145095e+00,8.918523192501651708e-01,1.093971509924203556e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.007179821828737776e+00,1.005635068934478848e+00,6.861346179825313030e+00,7.760330328615514528e-01,1.235237105007406244e+00,9.514756201309507722e-01,1.486895382969499302e+00,8.445919702754595138e-01,1.058359269986441920e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.006610567853310378e+00,1.116772777563621366e+00,1.720988391964739073e+00,1.001782786637700040e+00,1.231762768489542692e+00,1.054125532963377188e+00,1.012926438567310461e+00,9.659069611499525587e-01,1.142344104776801927e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.062034712975609585e+00,1.140400474333636893e+00,4.955252763368551250e+00,9.452794912705300145e-01,1.335521457396743772e+00,1.071358825974622508e+00,1.118430109375303516e+00,9.786597309609583739e-01,1.164057920988286643e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.091668928010353978e+00,1.143543968783142573e+00,2.809246356568506631e+00,9.966290219370603776e-01,1.290458915629224768e+00,1.103419632598141131e+00,1.212560462603556655e+00,1.006898419664011168e+00,1.199940845532271094e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.671230943822786141e-01,9.472591604814281085e-01,1.419083453781686321e+00,8.428412406012875113e-01,1.051677080361568706e+00,9.213369631583511188e-01,7.450661759680227147e-01,8.456765875103442465e-01,9.969973388063579911e-01
